Treatment;Market_Value_Estimation;Willingness_to_Pay
Low anchor price;680000;650000
Low anchor price;650000;600000
Low anchor price;680000;650000
Low anchor price;690000;650000
Low anchor price;700000;650000
Low anchor price;660000;650000
Low anchor price;680000;650000
Low anchor price;680000;650000
Low anchor price;680000;650000
Low anchor price;650000;620000
Low anchor price;690000;690000
Low anchor price;650000;620000
Low anchor price;680000;650000
Low anchor price;680000;650000
Low anchor price;650000;600000
Low anchor price;680000;650000
Low anchor price;650000;600000
Low anchor price;690000;650000
Low anchor price;670000;650000
Low anchor price;685000;650000
Low anchor price;680000;650000
Low anchor price;680000;650000
Low anchor price;650000;600000
Low anchor price;670000;650000
Low anchor price;650000;600000
Low anchor price;690000;670000
Low anchor price;700000;650000
Low anchor price;650000;600000
Low anchor price;690000;680000
Low anchor price;680000;650000
Market price;720000;700000
Market price;720000;700000
Market price;720000;700000
Market price;700000;650000
Market price;720000;700000
Market price;720000;700000
Market price;700000;650000
Market price;710000;680000
Market price;700000;650000
Market price;700000;650000
Market price;700000;650000
Market price;720000;700000
Market price;700000;650000
Market price;700000;650000
Market price;720000;700000
Market price;700000;680000
Market price;700000;650000
Market price;710000;700000
Market price;700000;650000
Market price;700000;650000
Market price;700000;650000
Market price;700000;650000
Market price;700000;650000
Market price;690000;650000
Market price;700000;650000
Market price;720000;700000
Market price;700000;650000
Market price;710000;700000
Market price;700000;650000
Market price;700000;650000
High anchor price;750000;700000
High anchor price;750000;700000
High anchor price;750000;700000
High anchor price;740000;725000
High anchor price;750000;720000
High anchor price;750000;700000
High anchor price;725000;700000
High anchor price;750000;700000
High anchor price;760000;750000
High anchor price;750000;700000
High anchor price;740000;700000
High anchor price;720000;680000
High anchor price;750000;700000
High anchor price;750000;725000
High anchor price;750000;700000
High anchor price;750000;700000
High anchor price;750000;700000
High anchor price;750000;700000
High anchor price;740000;710000
High anchor price;750000;700000
High anchor price;750000;700000
High anchor price;750000;700000
High anchor price;750000;720000
High anchor price;740000;700000
High anchor price;720000;700000
High anchor price;750000;700000
High anchor price;750000;700000
High anchor price;740000;700000
High anchor price;750000;700000
High anchor price;750000;700000
